group,local_team,visit_team
A,France,Romania
A,Albania,Switzerland
B,Wales,Slovakia
B,England,Russia
D,Turkey,Croatia
C,Poland,North. Ireland
C,Germany,Ukraine
D,Spain,Czech Republic
E,Ireland,Sweden
E,Belgium,Italy
F,Austria,Hungary
F,Portugal,Iceland
B,Russia,Slovakia
A,Romania,Switzerland
A,France,Albania
B,England,Wales
C,Ukraine,North. Ireland
C,Germany,Poland
E,Italy,Sweden
D,Czech Republic,Croatia
D,Spain,Turkey
E,Belgium,Ireland
F,Iceland,Hungary
F,Portugal,Austria
A,Switzerland,France
A,Romania,Albania
B,Slovakia,England
B,Russia,Wales
C,Ukraine,Poland
C,North. Ireland,Germany
D,Croatia,Spain
D,Czech Republic,Turkey
F,Hungary,Portugal
F,Iceland,Austria
E,Italy,Ireland
E,Sweden,Belgium
